MONTH,YR 2012,YR 2013,YR 2014,YR 2015,YR 2016,YR 2017,YR 2018,YR 2019p,YR 2020,YR 2021,YR 2022p
January,"29,549","24,353","31,155","38,377","44,567","44,888","31,737","42,949","44,166","13,631","34,057"
February,"29,540","24,771","32,962","35,912","41,981","43,597","41,160","41,704","51,644","12,798","44,596"
March,"36,353","31,877","41,389","41,690","50,913","48,354","50,128","56,138","26,224","25,210","60,109"
April,"30,648","28,780","34,212","37,633","49,933","50,206","43,632","45,045",0,"28,988",
May,"22,623","23,413","28,779","29,650","33,495","33,946","38,090","42,019",0,"37,687",
June,"23,290","25,844","30,850","32,258","37,985","34,606","42,012","45,781",0,"46,825",
July,"24,734","28,562","34,206","35,525","43,421","37,497","45,206","47,103","1,305","56,022",
August,"18,459","25,203","30,175","33,358","34,992","36,244","34,622","36,220","5,595","41,734",
September,"14,094","11,443","14,376","15,078","19,202","2,346","15,768","13,442","3,062","19,480",
October,"17,466","15,712","14,385","19,625","24,582","22,579","21,854","24,182","5,572","30,263",
November,"19,475","21,881","26,904","27,319","29,955","23,221","33,736","40,996","9,730","42,112",
December,"25,492","28,738","34,329","39,627","42,586","38,950","43,399","51,160","17,241","49,914",
